Team Name,Team Code,Conf Code,Conf Name,Tot Off Pts,Tot Def Pts,Off Pts Per Drive,Def Pts Per Drive,Tot Off Yards,Tot Def Yards,Off Yards Per Drive,Def Yards Per Drive,Tot Expected Off Pts,Tot Expected Def Pts,Off Expected Pts Per Drive,Def Expected Pts Per Drive,Tot Expected Off Yds,Tot Expected Def Yds,Off Expected Yds Per Drive,Def Expected Yds Per Drive,Off Pts Per Drive over Expected,Def Pts Per Drive over Expected,Off Yards Per Drive over Expected,Def Yards Per Drive over Expected
Georgia Tech,255,821,Atlantic Coast Conference,294,229,2.6017699115,2.08181818182,3505,3155,31.017699115,28.6818181818,247.796524118,246.71100499,2.19288959396,2.24282731809,3378.40383814,3248.76339444,29.8973790986,29.5342126768,0.408880317543,-0.161009136274,1.12032001643,1.12032001643
Georgia,257,911,Southeastern Conference,239,160,2.11504424779,1.37931034483,3544,2696,31.3628318584,23.2413793103,248.251438226,245.149788199,2.19691538253,2.1133602431,3379.39431343,3541.92788847,29.9061443667,30.5338611075,-0.0818711347402,-0.734049898271,1.45668749176,1.45668749176
Hawai'i,277,5486,Mountain West Conference,164,339,1.20588235294,2.42142857143,2948,4353,21.6764705882,31.0928571429,276.404477093,325.704359103,2.03238586098,2.32645970788,4232.27496875,4044.75571147,31.1196688879,28.8911122248,-0.826503508036,0.0949688635531,-9.44319829967,-9.44319829967
Houston,288,823,American Athletic Conference,363,194,2.92741935484,1.49230769231,4621,3413,37.2661290323,26.2538461538,283.792991731,251.285569846,2.28865315912,1.93296592189,3616.97657663,4097.30515646,29.1691659406,31.5177319727,0.638766195718,-0.440658229581,8.09696309169,8.09696309169
Idaho,295,818,Sun Belt Conference,271,351,2.31623931624,3.02586206897,3958,4378,33.8290598291,37.7413793103,240.429112897,253.035280311,2.05494968288,2.18133862337,3609.43095702,3457.76758464,30.8498372395,29.8083412469,0.261289633355,0.844523445598,2.97922258953,2.97922258953
Illinois,301,827,Big Ten Conference,218,190,1.71653543307,1.49606299213,3366,3031,26.5039370079,23.8661417323,270.855111726,268.293540158,2.13271741516,2.1125475603,3863.86587022,3858.33747223,30.4241407104,30.3806100175,-0.416181982093,-0.61648456817,-3.9202037025,-3.9202037025
Indiana,306,827,Big Ten Conference,281,339,2.23015873016,2.66929133858,4209,4611,33.4047619048,36.3070866142,254.225751223,274.470468215,2.01766469225,2.1611847891,3930.60774977,3860.98875068,31.1952996014,30.4014862258,0.212494037912,0.508106549486,2.20946230341,2.20946230341
Iowa State,311,25354,Big 12 Conference,205,266,1.99029126214,2.48598130841,3425,3636,33.2524271845,33.9813084112,206.297220157,234.871972471,2.00288563259,2.19506516328,3259.11169469,3207.59579982,31.6418611135,29.9775308395,-0.0125943704547,0.290916145129,1.61056607099,1.61056607099
Iowa,312,827,Big Ten Conference,278,155,2.43859649123,1.42201834862,3649,2835,32.0087719298,26.0091743119,252.671884339,216.136813914,2.21642003806,1.98290654967,3382.67824967,3419.19605593,29.6726162252,31.3687711553,0.222176453169,-0.56088820105,2.33615570465,2.33615570465
Kansas State,327,25354,Big 12 Conference,181,215,2.01111111111,2.38888888889,2391,2994,26.5666666667,33.2666666667,200.470554988,200.844676973,2.22745061098,2.23160752192,2669.63593125,2668.31685458,29.6626214584,29.6479650509,-0.216339499869,0.157281366966,-3.09595479172,-3.09595479172
Kansas,328,25354,Big 12 Conference,162,428,1.31707317073,3.53719008264,3210,5269,26.0975609756,43.5454545455,247.240128871,269.785581393,2.01008234855,2.22963290408,3824.40708571,3597.30322041,31.0927405342,29.7297786811,-0.693009177815,1.30755717857,-4.99517955859,-4.99517955859
Kent State,331,875,Mid-American Conference,119,235,0.901515151515,1.76691729323,2630,3247,19.9242424242,24.4135338346,273.251701639,296.038217626,2.07008864878,2.22585126034,4099.28474131,3974.66182051,31.0551874341,29.8846753422,-1.16857349727,-0.458933967111,-11.1309450099,-11.1309450099
Kentucky,334,911,Southeastern Conference,190,253,1.77570093458,2.40952380952,3148,3605,29.4205607477,34.3333333333,212.937883014,233.218086861,1.99007367302,2.22112463677,3345.20839606,3107.94706616,31.2636298697,29.5994958682,-0.214372738444,0.188399172751,-1.84306912207,-1.84306912207
LSU,365,911,Southeastern Conference,275,182,2.92553191489,1.95698924731,3402,2750,36.1914893617,29.5698924731,197.678753261,192.954348424,2.10296546023,2.07477794004,2884.82120558,2876.74394593,30.6895872934,30.9327306014,0.822566454665,-0.117788692729,5.5019020683,5.5019020683
Louisiana Tech,366,24312,Conference USA,370,232,2.82442748092,1.75757575758,4789,3604,36.5572519084,27.303030303,291.043041849,288.66629589,2.22170260954,2.18686587796,3879.76085248,3943.35429906,29.6164950571,29.873896205,0.602724871379,-0.429290120382,6.94075685126,6.94075685126
Louisville,367,821,Atlantic Coast Conference,222,184,1.80487804878,1.50819672131,3318,2625,26.9756097561,21.5163934426,265.998218576,292.927985334,2.16258714289,2.40104906012,3709.31982558,3417.96507473,30.1570717527,28.0161071699,-0.35770909411,-0.892852338807,-3.18146199658,-3.18146199658
Marshall,388,24312,Conference USA,273,174,1.89583333333,1.2,3930,4145,27.2916666667,28.5862068966,327.657672164,284.09388553,2.27540050114,1.95926817607,4247.59757836,4597.13317075,29.4972054053,31.7043666948,-0.379567167805,-0.759268176071,-2.20553873862,-2.20553873862
Maryland,392,827,Big Ten Conference,195,287,1.57258064516,2.25984251969,2771,3645,22.3467741935,28.7007874016,276.804436678,283.56859286,2.23229384418,2.23282356582,3671.84133665,3757.05720138,29.6116236826,29.5831275699,-0.659713199016,0.0270189538617,-7.26484948908,-7.26484948908
Massachusetts,400,875,Mid-American Conference,189,297,1.5,2.41463414634,3436,4132,27.2698412698,33.593495935,254.220627921,268.574910421,2.01762403112,2.18353585708,3921.39079091,3689.81009503,31.1221491342,29.9984560572,-0.517624031115,0.231098289258,-3.85230786438,-3.85230786438
Memphis,404,823,American Athletic Conference,391,261,3.0546875,2.05511811024,4735,3978,36.9921875,31.3228346457,275.767209043,246.768295116,2.15443132065,1.94305744186,3859.75979473,4039.82726372,30.1543733964,31.8096634938,0.90025617935,0.112060668374,6.83781410363,6.83781410363
Miami (Ohio),414,875,Mid-American Conference,168,336,1.20863309353,2.41726618705,3458,4055,24.8776978417,29.1726618705,270.193942654,321.068564169,1.94384131406,2.30984578539,4405.64467011,4052.48004071,31.6952853965,29.154532667,-0.73520822053,0.107420401663,-6.81758755476,-6.81758755476
Miami (Florida),415,821,Atlantic Coast Conference,229,206,2.31313131313,2.0396039604,3182,3158,32.1414141414,31.2673267327,216.647014498,204.187391409,2.1883536818,2.02165734068,2973.2499539,3124.01434083,30.0328278172,30.9308350577,0.12477763133,0.0179466197124,2.10858632423,2.10858632423
